city,URL,title,date,time,venue,details,user,tags,Rank
champaign,https://www.eventbrite.com/e/yellow-co-presents-comedian-rachel-mac-tickets-429338271327?aff=ebdssbdestsearch,Yellow & Co presents Comedian Rachel Mac,12/10/2022,,"Yellow & Co. 604 East Main Street #suite c Mahomet, IL 61853","Rachel Mac is a writer and comedian currently based in the Midwest after 8 years of performing in Los Angeles. She is a Paid Regular at The Comedy Store and has been on Comedy Central's Lights Out with David Spade, both doing stand-up and as a panelist. Rachel worked as a writer for The Movie Show, a late-night comedy sketch show on SyFy, which stars two puppets. She co-wrote and co-starred in an instagram sitcom, The MacBlakes. She is also, for better or worse, a middle school English teacher. 
?Rachel has a blog on Substack called ""A Star is Dying"" where she writes about comedy and motherhood: https://rachelmac.substack.com/
Doors open at 7:15, show starts promptly at 8:00 pm-don't be late. 
Tickets are 25.00 ....day of the event tickets are $30
Please note that this event is for age 18 and up.  21 and older of course allowed to drink. IDs will be checked.
General seating! For any large groups please reach out to us prior to the event.
P?lease do not part in the first 2 parking spaces in front of AJ's.
*payment will be reflected as chicpaint@gmail.com 
PLEASE READ OUR CANCELLATION POLICY! NO REFUNDS OR RAINCHECKS will be given.
Yellow World LLC disclaims any and all liability for alcohol-related accidents or injuries arising out of its activities, or arising out of the activities of its customers. Therefore, in consideration of participating in the activities of Paint Like Me Party, Yellow and Co. or Yellow World LLC, attendees do hereby agree to indemnify and hold harmless Yellow World LLC, Yellow and Co. and Paint Like Me Party, its proprietors and employees, and any guest speakers, instructors or artists for any loss, cost and expense incurred as the result of their conduct, whether on or off the premises.
Paint Like ME  Party & Yellow and Co. brought to you by Yellow World LLC.
",Yellow & Co. Events,"['United States Events', 'Illinois Events', 'Things to do in Mahomet, IL', 'Mahomet Performances', 'Mahomet Arts Performances', '#comedy', '#teacher', '#laughter', '#laugh', '#datenight', '#comedyshow', '#date_night', '#centralillinois', '#mahomet', '#visitmahomet']",1
champaign,https://www.eventbrite.com/e/japan-house-annual-bazaar-mottainai-tickets-459029508617?aff=ebdssbdestsearch,Japan House Annual Bazaar : Mottainai,12/10/2022,"Sun, Dec 11, 2022, 3:00 PM CST","Japan House 2000 South Lincoln Avenue Urbana, IL 61802","A treasured Japanese concept, Mottainai means “what a waste!”. Focusing on the ""4 R's"", reduce, reuse, recycle and respect, we have gathered unique items and accessories from all our friends around the world and offer them for sale in order to give them new life.
The Bazaar is packed with an incredible array of reasonably-priced Asian-inspired items, such as pottery, kimono and yukata, origami crafts, handmade items, scarves, scrolls, posters, scrolls, books, prints, chado equipment, jewelry, furniture and more!
THE BAZAAR IS FREE AND OPEN FOR ALL
Registration is kindly requested to help us manage traffic inside the limited building space.
-Saturday, Dec 10th / 10am-4pm
The Japan House M?atcha café will be open only on Saturday. Visitors may purchase an add-on for a bowl of matcha and wagashi (traditional Japanese sweet) while registering. This will be served to guests on a tray to casually enjoy while shopping - no formal tea ceremony will occur. Preorders close on December 8  but limited numbers of matcha and wagashi will be available for purchase in-person on Saturday. *If purchased for Sunday, the add-on will be canceled and refunded - please note that EventBrite fees are non-refundable. 
-Sunday, Dec 11th / 12pm-3pm
------------
Cash, check, and all major credit cards are accepted. All proceeds from the Bazaar go to support the Japan House Internship Program. Monetary donations are also accepted during the event.
Stop by as many times as you wish! This is a family friendly event, and there is definitely something for everyone!
N?OTE: PICTURES SHOWN  ARE FROM A PAST BAZAAR and do not reflect the current selection of items. For reference only.
",Japan House,[],2
champaign,https://www.eventbrite.com/e/thai-yoga-massage-tickets-451322286107?aff=ebdssbdestsearch,Thai Yoga Massage,12/3/2022,3:00 PM – 5:00 PM CST,"Urbana Dance Company 122 West Main Street Urbana, IL 61801","Thai Yoga Massage
Thai massage is a mutually beneficial and enjoyable way to connect with another friend-along-the-path using healing touch. Passive stretching, breath work and compression massage are a few techniques that we will explore in our afternoon workshop. This ancient massage offers an increased awareness of energy lines that have been mapped out throughout the body. 
The body has the capacity to hold an incredible amount of tension, even unconsciously, we carry our issues in our tissues. Sacred touch is something that has been a profound source of healing throughout the millennia. Simply being present and focused on the other person can bring waves of relaxation and release. Bring your friend, partner, or family member and join us for a very enjoyable afternoon learning how to give and receive Thai Yoga Massage.
",Green Yoga Spa,"['United States Events', 'Illinois Events', 'Things to do in Urbana, IL', 'Urbana Classes', 'Urbana Health Classes', '#yoga', '#massageworkshop', '#thaiyogamassage', '#thaiyoga', '#self_care', '#health_and_wellness', '#wellness_workshop', '#wellness_events', '#massage_classes']",3
champaign,https://www.eventbrite.com/e/drink-n-drag-ho-ho-holiday-edition-tickets-446403814827?aff=ebdssbdestsearch,Drink N Drag Ho Ho Holiday Edition,12/17/2022,8:00 PM – 11:00 PM CST,"The City Center 505 South Chestnut Street Champaign, IL 61820","Join us Saturday, December 17th at the City Center for Drink 'n Drag  Ho Ho Holiday Edition featuring  Apollo, Amaya Sexton, Corinna & Cationna, Peach & Ceduxion! 
Table seating for $20.  
General Admission for $15.
Doors at 7pm 
Show from 8 to 11pm .
Must be 19+ to enter
No Refunds


",Amy Myers,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Performances', 'Champaign Arts Performances', '#drag', '#dragqueen', '#dragshow', '#dragqueens', '#dragqueenshow']",4
champaign,https://www.eventbrite.com/e/c-u-s-wallstreet-christmas-tickets-415689838497?aff=ebdssbdestsearch,C-U ‘s Wallstreet @ Christmas,12/17/2022,,"Market Place Shopping Center 2000 North Neil Street Champaign, IL 61820","Event is December 17th 11am-8:30pm 
December 18th 11am-6:30pm will send details with ticket purchase  
“1 TICKET PAYS FOR BOTH DAYS FOR EVENT”
Contact (217)850-5024
",,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Expos', 'Champaign Holiday Expos', '#christmas', '#xmas', '#marketplace', '#shoplocal', '#localbusiness', '#small_business', '#vendor_event', '#shopping_event', '#vendors_wanted', '#vendors_needed']",5
champaign,https://www.eventbrite.com/e/free-indoor-beginner-yoga-tickets-466804403537?aff=ebdssbdestsearch,Free Indoor Beginner Yoga,12/16/2022,5:00 PM – 6:00 PM CST,"Lodgic Everyday Community — Champaign 1807 South Neil Street Champaign, IL 61820","Y?oga is an accessible practice. Within the flows I design you will find some mini movements helpful to use for the much needed desk break or tired at 2 pm feelings. Life is difficult. The yoga is simple. 
",Esmeralda Clack,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', 'Champaign Classes', 'Champaign Health Classes', '#free', '#yoga', '#relaxation', '#meditation', '#joy', '#grounding', '#fridaynight', '#beginneryoga', '#let_go', '#champaignurbana']",6
champaign,https://www.eventbrite.com/e/art-in-the-museum-series-in-celebration-of-harry-breen-exhibit-reception-tickets-472308356007?aff=ebdssbdestsearch,Art In the Museum Series: In Celebration of Harry Breen- Exhibit Reception,12/8/2022,5:00 PM – 7:00 PM CST,"Champaign County History Museum 102 East Universty Avenue Champaign, IL 61820","“Beyond the Prairie Landscape” is an exhibition to celebrate one of the most celebrated artists and longest serving art educators in in Champaign County in the last 100 years. Champaign County History Museum is proud to present this exhibition selected from Harry Breen’s life time drawings, prints, paintings, sculptures and ceramic art. An opening reception is scheduled from 5 to 7pm and a gallery talk at 5:45pm by Dr. Ian Wang on Thursday Dec. 8th, 2022.   This exhibition will be on display at Champaign County History Museum from Dec. 1 to Dec. 25, 2022. 
",Champaign County History  Museum,"['United States Events', 'Illinois Events', 'Things to do in Champaign, IL', '#art']",7
champaign,https://www.eventbrite.com/e/new-years-eve-stand-up-comedy-champaign-il-tickets-469568129917?aff=ebdssbdestsearch,"New Year's Eve Stand Up Comedy - Champaign, IL",12/31/2022,8:00 PM – 9:30 PM CST,"Alto Vineyards Champaign 4210 North Duncan Road Champaign, IL 61822","Live Stand Up Comedy returns to Alto Vineyards in Champaign, IL for a special New Year's Eve Show! Saturday Night Dec 31st at 8PM
Featuring comics from comedy clubs across the midwest. Perfect for New year's eve parties, date nights, group outings, and more! 
F?ull info at www.cucomedy.com - email jesse@cucomedy.com with any questions 
",C-U Comedy,[],8
champaign,https://www.eventbrite.com/e/the-nychillharmonic-aberdeen-tickets-404241064907?aff=ebdssbdestsearch,THE NYCHILLHARMONIC + ABERDEEN,12/2/2022,,"Rose Bowl Tavern 106 North Race Street #1 Urbana, IL 61801","THE NYCHILLHARMONIC
The NYChillharmonic is a female fronted, Brooklyn-based, 18 piece, progressive-rock orchestra. The music fuses multiple genres including rock, pop, and jazz, which ultimately creates an ensemble sound that acknowledges the tradition of jazz as much as it sonically embraces experimental textures, arrangements, and harmonies. 
ABERDEEN
Aberdeen is a jazz / indie rock brass band based out of Brooklyn, NY. They create a wall of sound with soaring, horn-driven melodies, supported by a bed of distorted guitars and raucous drums. Brian Plautz is the primary songwriter in the band, along with Alex Conroy and Shubh Saran. The band, featuring saxophones, trombone, trumpet, two guitars, bass and drums never ceases to fill a room with energy. 
",PYGMALION,"['United States Events', 'Illinois Events', 'Things to do in Urbana, IL', 'Urbana Performances', 'Urbana Music Performances']",9
champaign,https://www.eventbrite.com/e/birds-of-a-feather-phish-tribute-live-at-the-rose-bowl-tavern-tickets-450616464977?aff=ebdssbdestsearch,Birds of a Feather: Phish Tribute live at the Rose Bowl Tavern,12/9/2022,"Sat, Dec 10, 2022, 12:00 AM CST","Rose Bowl Tavern 106 North Race Street Urbana, IL 61801","$10 ADV // $15 DOS
Doors 8:30pm// Show 9pm
Birds of a Feather is an Illinois Phish tribute with veteran musicians deep diving into the magic and complexity of the Phish songbook. The line-up features Dave Littrell (The Station & Deep Hollow), Jeff Cunningham (The Station, The Blue G's, Los Injectors), Mike Tasch (Sunshine Daydream) and Ron James (Brandon Santini Band). 
No refunds on Tickets. All seating is first come first serve!
",Rose Bowl Tavern,"['United States Events', 'Illinois Events', 'Things to do in Urbana, IL', 'Urbana Performances', 'Urbana Music Performances', '#phish', '#jamband', '#rock_music', '#americanamusic', '#supportlivemusic']",10
