,User,Tweet
0,GaryDare,"RT @GaryDare: Hey #Chicago #NorthShore #Skokie &amp; #Evanston! .@CAREnorthshore CARE FAIRE 

Sa 11/26

#AdoptDontShop #AdoptDontBuy #AdoptAShe…"
1,DanceQueenNY,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
2,JSalvatierraCP1,"If you want to do the Christmas season right, this quaint Chicago suburb never drops the ball when it comes to holiday events.

8 Festive Holiday Events Not To Miss In One Of Chicago’s Most Idyllic Suburbs

https://t.co/a7GrsejVFU https://t.co/NCzp1JCoqf"
3,lookingforfact_,"@nytimes This will drop of the corporate media news cycle shortly as the suspect doesn’t fit the democrat narrative… 

Examples:
1) Waukesha Christmas parade massacre 
2) daily weekly events in Chicago and Phila."
4,LoriLightfoot,What better way to spend the holidays than with those you love. Check out these fun events for the whole family!🎄❄️ https://t.co/yWwuqYL6xb
5,Randbreloaded,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
6,JuneEventsNYC,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
7,Andy_Lara,"As we near Christmas season, I get excited to see all the snow, lights, events Broll in the movies I love from NY, Chicago, London..I guess I’d watch a YT of all the  80s90s Christmas Broll to classic jams. 

Am I sick?"
8,ogbuemma2468,Chicago police outline safety plans for holidays from downtown to neighborhoods https://t.co/v7EqymFs3W
9,BabycakesTruck,RT @TimeOutChicago: You won't find many better Christmas events than Chicago's annual Christkindlmarket https://t.co/CZW7sWiEDg https://t.c…
10,paulghaynes50,"@theangriestbuni What up, Chi-girl?!?  It’s one of those events, that once you see White Christmas and/or It’s a Wonderful Life in an old, small Chicago theatre that still has an organ with the place packed, you’d create an immediate tradition.  We go every year there’s not a pandemic."
11,paulghaynes50,"@theangriestbuni Absolutely correct.  That’s also one of the best scenes.  If you’re in Chicago, see it on the big screen at Music Box.  It’s a long lived tradition for many locals.  Very festive.  Sing along and have fun.  https://t.co/P4BKQFD7lg"
12,GlobalBusEvents,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
13,Fren75La,RT @TimeOutChicago: You won't find many better Christmas events than Chicago's annual Christkindlmarket https://t.co/CZW7sWiEDg https://t.c…
14,TimeOutChicago,You won't find many better Christmas events than Chicago's annual Christkindlmarket https://t.co/CZW7sWiEDg https://t.co/A4khrp3gWV
15,Edhinman89,"RT @TravelAwaitsNow: If you want to do the Christmas season right, this quaint Chicago suburb never drops the ball when it comes to holiday…"
16,TravelAwaitsNow,"If you want to do the Christmas season right, this quaint Chicago suburb never drops the ball when it comes to holiday events. https://t.co/jViFNgxjPg"
17,Do312,"A picturesque snowfall lightly blankets Wrigleyville...now add in you and your friends sporting your favorite ugly Christmas sweaters, working on a Silver Bell BUZZ. Join Chicago's 26th annual bar crawl featuring the best bars Wrigleyville has to offer!🎄
https://t.co/2g0WZLPFej https://t.co/ZYc2ydhSX5"
18,GaryDare,"Hey #Chicago #NorthShore #Skokie &amp; #Evanston! .@CAREnorthshore CARE FAIRE 

Sa 11/26

#AdoptDontShop #AdoptDontBuy #AdoptAShelterPet #adoptaseniorpet #AdoptAShelterDog #AdoptAShelterCat #dogs #cats #pets #holidayseason #Christmas 

https://t.co/SD3ndvKjpY

https://t.co/nNuNtkOFxn https://t.co/5BopX3DtXz"
19,GWPtheTrilogy,"@ThatDarkRogue @fuckyouiquit My company is dope as hell. About 50% of our staff live outside of the state. They fly every person &amp; their familes out and pay for their hotel rooms and pay for their Ubers/Lyfts for the Christmas Party, the summer party &amp; up to 4 other events throughout the year held in Chicago"
20,DanceQueenNY,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
21,RuthieDaughter,https://t.co/lPo7tdr0gp
22,10GNO70,Don’t think many went down to enjoy a once beautiful Xmas event. Usual suspects fucked that up 👇👇 https://t.co/0CDCrV3PqF
23,10GNO70,Gunned down for nothing. Usual fucking suspects . Time to start letting armed citizens take these MFers down https://t.co/lCE06WVTSm
24,EliteTrends1,RT @JuneEventsNYC: #Chicago got your jab visiting #NYC get the best experience with tickets to a Soul Night Events soirée https://t.co/eDp4…
25,kgburke3,"RT @Suntimes: From ice skating and hot cocoa under holiday lights in Millennium Park to heartwarming tales at Chicago-area theaters, these…"
26,tnovaksuntimes,"RT @Suntimes: From ice skating and hot cocoa under holiday lights in Millennium Park to heartwarming tales at Chicago-area theaters, these…"
27,craigrwall,https://t.co/OOR9YS8Evh
28,usasharenews,"Chicago holiday events 2022: Christmas tree lighting, ice skating, Christkindlmarket and more https://t.co/4YzG9o8o7z"
29,longliveale,"RT @ChooseChicago: The Christmas tree lighting, Christkindlmarket, the Magnificent Mile Lights Festival... The holidays truly start this we…"
30,Suntimes,"From ice skating and hot cocoa under holiday lights in Millennium Park to heartwarming tales at Chicago-area theaters, these winter events are sure to get you in the holiday spirit. https://t.co/cyEN2VJMwX"
31,chicagomediaX,"Chicago holiday events 2022: Christmas tree lighting, ice skating, Christkindlmarket and more https://t.co/cbfWoylOMc"
32,windycityevnts,"Chicago holiday events 2022: Christmas tree lighting, ice skating, Christkindlmarket and more https://t.co/ZXdeCBvZtB"
33,TheCubanPanda,"RT @ChooseChicago: The Christmas tree lighting, Christkindlmarket, the Magnificent Mile Lights Festival... The holidays truly start this we…"
34,sleepyinIl,"RT @ChooseChicago: The Christmas tree lighting, Christkindlmarket, the Magnificent Mile Lights Festival... The holidays truly start this we…"
35,CIMAGES,"RT @ChooseChicago: The Christmas tree lighting, Christkindlmarket, the Magnificent Mile Lights Festival... The holidays truly start this we…"
36,ChooseChicago,"The Christmas tree lighting, Christkindlmarket, the Magnificent Mile Lights Festival... The holidays truly start this weekend in Chicago. 

#ChicaGOandKNOW https://t.co/C1knfCcjwE"
37,ChristianPiekos,"Chicago police are discussing safety and security efforts with business owners downtown later today, as the holiday shopping season is about to begin. https://t.co/fMErfpsI77"
38,nbcchicago,"From Tree Lightings, to Christmas Markets, to Ice Skating at Wrigley Field, Holiday Events are Here https://t.co/fb8v0EWlNL"
39,chim0m,"RT @chicagomediaX: From Tree Lightings, to Christmas Markets, to Ice Skating Inside Wrigley Field, Holiday Events are Here https://t.co/vdT…"
40,chicagomediaX,"From Tree Lightings, to Christmas Markets, to Ice Skating Inside Wrigley Field, Holiday Events are Here https://t.co/vdTJafsJJB"
41,ABC7Chicago,Chicago police will outline plans for downtown holiday events such as the Millennium Park Christmas tree lighting and the Christkindl Market.  https://t.co/kWKl6QiFwC
42,Gumbumper,"Chicago police to outline plans for downtown holiday events such as Millennium Park Christmas tree lighting, Christkindl Market https://t.co/XTijD5VHFT"
43,chicagomediaX,Chicago police to outline plans for downtown holiday events https://t.co/GnZHuzeOe7
44,TimeOutChicago,You won't find many better Christmas events than Chicago's annual Christkindlmarket https://t.co/zU4NpN9goj https://t.co/3eTH0V2yJA
45,SyMBaGirlBoss,"Me and Reonna find the cutest events to do! In December, we are going on a BYOB Holiday Lights Party Bus that’s taking us to Christmas themed events in Chicago!"
46,chicago_stem,"Your area holiday events guide is here! Have fun, everyone, and share that cheer!
https://t.co/iovtNDw5bT

#lettersforsanta #santasmailbox #holidayevents #thingstodo #familyfun #christmasmovies #treelighting #reindeer https://t.co/eXdkYIlbjL"
47,RaviVS007,"RT @chicagotribune: A blizzard of holiday events around Chicago commences this week, with the Christmas tree lighting in Millennium Park an…"
48,barbarasbooks,"State Street Holiday Market features small businesses, holiday programing in Loop https://t.co/d1z3OvqdRz"
49,larrysmdoings,"RT @chicagotribune: A blizzard of holiday events around Chicago commences this week, with the Christmas tree lighting in Millennium Park an…"
50,chicagotribune,"A blizzard of holiday events around Chicago commences this week, with the Christmas tree lighting in Millennium Park and Christkindlmarket opening Friday, holiday parades on the way, and caroling at the Bean kicking off soon. Call it Hollipalooza. https://t.co/q61mvRDb3t"
51,UCCharterSchool,Christmas lights and markets and more are happening around Chicago. Check out November's calendar of events: https://t.co/1I1xIUeuXL
52,2B_AMAZING,"RT @ChiLoopAlliance: Our CMO Kiana DiStasi met with @ABC7Chicago to talk all things about our NEW State Street Holiday Market, opening this…"
53,ChiLoopAlliance,"Our CMO Kiana DiStasi met with @ABC7Chicago to talk all things about our NEW State Street Holiday Market, opening this Friday, and why if you loved #SundaysOnState you will LOVE our holiday market too! 🤗 🎁 💝 #BackInTheLoop
https://t.co/PHNQbbvdcc"
