,city,URL,title,date,time,venue,details,user,tags
0,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @rynn0915,[]
1,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @publicgardens: chicago horticultural society dates back to 1890. @chicagobotanic opened around 1972. the garden offers adult education,…",Twitter User @josephm68340511,[]
2,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @garydare: hey #chicago #northshore! .@carenorthshore #sharethelove #pets #adoption #event 

#host mcgrath .@evanstonsubaru 

saturday 1…",Twitter User @GaryDare,"['chicago', 'northshore', 'sharethelove', 'pets', 'adoption', 'event', 'host']"
3,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @garydare: hey #chicago #northshore! .@carenorthshore ten thousand .@villages #evanston #shopping #fundraiser #event 

thursday 12/08, 5…",Twitter User @GaryDare,"['chicago', 'northshore', 'evanston', 'shopping', 'fundraiser', 'event']"
4,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @garydare: hey #chicago! .@ccr_pups .@chipotletweets 1027 w. addison st., chicago, #fundraiser 

wednesday 12/07, 5 – 9 pm

#adoptdontsh…",Twitter User @GaryDare,"['chicago', 'fundraiser', 'adoptdontsh']"
5,Chicago,N/A,N/A,N/A,N/A,N/A,"the biggest rock en espanol party in the country is coming to chicago this fri at @concordhall! get your tickets before they sell out ⚡️
: https://t.co/tudds1jxpf https://t.co/p2aq0sozcn",Twitter User @RiotFest,[]
6,Chicago,N/A,N/A,N/A,N/A,N/A,rt @magicofkeelan: hey @youtube @youtubecreators can we put together a chicago meetup for youtubers? i always see ny and la having events.…,Twitter User @thewemdb,[]
7,Chicago,N/A,N/A,N/A,N/A,N/A,rt @smittenkitchen: smitten kitchen keepers book tour: new events! i cannot wait to hang out -- i think i remember what it was like to leav…,Twitter User @alfencl,[]
8,Chicago,N/A,N/A,N/A,N/A,N/A,rt @chicago_reader: new this year! state street holiday market will bring over 80 small local chicago businesses indoors on the city's most…,Twitter User @TracyBaimWCMG,[]
9,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @Lizthehedgehog1,[]
10,Chicago,N/A,N/A,N/A,N/A,N/A,"i always hate when people plan events the same day as something big in chicago, and then get mad cause nobody showed up!!!! strictly speaking on the gospel scene.",Twitter User @Milkkdudd,[]
11,Chicago,N/A,N/A,N/A,N/A,N/A,"in 5 days!

the last all-facility party of 2022 @15thaveadult in chicago!

jingle b*lls holiday party!!!!

saturday 12/10/22
8pm-1am
dance contest w/prizes!
swag bags-1st 50 m/f cpls!
byob 21+
hosted by doc
don't miss it!
model: @gingersquirts50 
coming? https://t.co/xgbbqgclkg https://t.co/jy5obldsin",Twitter User @LizardoJournal,[]
12,Chicago,N/A,N/A,N/A,N/A,N/A,"join us at the agu fall meeting in december!
 
kinemetrics is excited to participate in the american geophysical union (agu) fall meeting in chicago on december 12-15, 2022. join us at booth # 1527 to speak with our experts.

https://t.co/afqsdhuc4p",Twitter User @kinemetrics,[]
13,Chicago,N/A,N/A,N/A,N/A,N/A,"happy monday, musing events! saturday, dec. 10, family day | uplift, museum of contemporary art, chicago, 11 am-3 pm. designed &amp; led by chicago artists, family days are monthly programs at the mca for all families &amp; youth. enjoy free admission!
https://t.co/ylnoo4utrb https://t.co/eimdetmil1",Twitter User @Ilaea,[]
14,Chicago,N/A,N/A,N/A,N/A,N/A,"happy monday musing events, saturday, dec. 10, hyde park art center, chicago, center day, 1 - 4 pm for center days, hyde park art center is activated w/ activities throughout the center for the public, neighbors, &amp; families.  https://t.co/kss77s67es https://t.co/lcdpuy7hy1",Twitter User @Ilaea,[]
15,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @kira_ar150,[]
16,Chicago,N/A,N/A,N/A,N/A,N/A,"--a black senator president pro tempore of the senate who ends up as president of the us through a series of unfortunate events. here's gene siskel's four-star review: 9/10
https://t.co/ohfljl8jou https://t.co/agzxgexcrx",Twitter User @RoselandChi1972,[]
17,Chicago,N/A,N/A,N/A,N/A,N/A,"ugc nerds - looking to work with some creators in nyc, la, chicago, &amp; seattle for an events/concerts brand

slide in if u like going to concerts",Twitter User @LifeOfSid_,[]
18,Chicago,N/A,N/A,N/A,N/A,N/A,"follow these awesome humans and me on ig for updates on the watch party and our other work and events in chicago 

@ dj_papa_g
https://t.co/18hhrueazh

@ easyfootballclub
https://t.co/ydwsuyc9d8

@ nikhak
https://t.co/wc6txicpn9",Twitter User @nikhak,[]
19,Chicago,N/A,N/A,N/A,N/A,N/A,"register for #civics 101 for girls webinar on dec 27. this class introduces girls to the structure of government, elections &amp; civic engagement. tickets ➡️ https://t.co/atizvfxuxv #boston #manhattan #baltimore #raleigh #tallahassee #birmingham #memphis #chicago",Twitter User @GirlsinPolitics,"['civics', 'boston', 'manhattan', 'baltimore', 'raleigh', 'tallahassee', 'birmingham', 'memphis', 'chicago']"
20,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @zimubotan,[]
21,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @mutya_tan,[]
22,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @does_sofia,[]
23,Chicago,N/A,N/A,N/A,N/A,N/A,hey @youtube @youtubecreators can we put together a chicago meetup for youtubers? i always see ny and la having events. it can be fun and i feel chicago has a lot to offer with creators and being one of the 3 largest media markets.,Twitter User @MagicofKeelan,[]
24,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @thejennylam: - keeping the site and #blog ad-free &amp; without any paywalls;
- keeping in-person events free to attend;
- helping produce…",Twitter User @TheJennyLam,['blog']
25,Chicago,N/A,N/A,N/A,N/A,N/A,"rt @stellifiedheart: hey skykids! we've added two new in-person events for december 🤩

if you're in chicago or kuala lumpur, there's going…",Twitter User @mohu_0704,[]
26,Chicago,N/A,N/A,N/A,N/A,N/A,"ohio.
lakeland &amp; ft. lauderdale florida.
new york x3.
chicago.
north carolina.
if you have to carry guns &amp; wear masks to protest a children’s event, you’re doing something wrong.
you are wrong.

“the far-right attacked drag events in 4 states this weekend” https://t.co/vprearftan",Twitter User @Snozz_Wanger,[]
27,Chicago,N/A,N/A,N/A,N/A,N/A,"did you know that @lincolnparkzoo is actually an amazing place to look for birds? and we don't just mean the zoo birds. migrating birds abound in this beautiful green space and we've got the scoop on where to find them!
https://t.co/ewk82ghhjq",Twitter User @chicago_birder,[]
